Screen Resolution	Browser	OS	Traffic Source	Combination Id	Converted	Returning Visitor	User Language	Country
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	Pakistan
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Large	Firefox	Windows New	direct_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	unknown	2	No	0	en-us	United States
Extra Small	Firefox iOS	iOS	search_traffic	2	No	0	en-us	Nigeria
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Android	unknown	2	No	0	en-gb	Canada
Extra Large	Chrome	Windows New	direct_traffic	1	No	0	zh-cn	China
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-gb	India
Extra Large	Chrome	Mac OS X	unknown	1	No	0	en-us	Canada
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	United States
Extra Small	Opera Mini	Other	search_traffic	1	No	0	en	Europe
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	unknown	2	No	0	en-us	Nigeria
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	ru-ru	Azerbaijan
Extra Large	Opera	Windows New	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	India
Extra Large	Safari	Mac OS X	search_traffic	1	No	0	en-us	United States
Small	Chrome	Android	search_traffic	1	No	0	en-gb	Russian Federation
Extra Large	Chrome	Windows New	direct_traffic	1	No	0	en-us	Other
Extra Large	Chrome	Mac OS X	search_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	India
Extra Large	Firefox	Windows New	search_traffic	2	No	0	en-us	Indonesia
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	Other
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	Nigeria
