Screen Resolution	OS	Traffic Source	Combination Id	Converted	User Language	Country
Extra Small	Android	search_traffic	1	No	de	Germany
Extra Large	Mac OS X	search_traffic	2	No	en-us	United Arab Emirates
Extra Small	Android	search_traffic	1	No	it-it	Czech Republic
Extra Small	iOS	unknown	1	No	en-us	United States
Extra Large	Other	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	unknown	1	No	en-gb	Pakistan
Extra Large	Windows New	search_traffic	1	No	it-it	Italy
Extra Large	Windows New	search_traffic	2	No	en-us	Canada
Extra Large	Windows New	unknown	2	No	en-gb	India
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-us	Albania
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	United States
Extra Large	Mac OS X	search_traffic	1	No	fr-fr	Spain
Small	Android	unknown	1	No	en-us	Nigeria
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Mac OS X	search_traffic	1	No	en-us	Italy
Extra Small	Android	search_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	Nigeria
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Mac OS X	unknown	1	No	en-gb	Finland
Extra Small	iOS	search_traffic	1	No	en-us	Philippines
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Large	Mac OS X	search_traffic	2	No	en-us	United Kingdom
Extra Large	Windows New	search_traffic	1	No	en-us	Thailand
Extra Large	Windows New	search_traffic	2	No	en-us	United Kingdom
Extra Small	iOS	unknown	1	No	en-gb	Nigeria
Extra Large	Windows New	search_traffic	2	No	de	Germany
Extra Large	Mac OS X	search_traffic	2	No	bg-bg	Bulgaria
Extra Small	Android	unknown	2	No	en-gb	Poland
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-us	Norway
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	iOS	unknown	1	No	en-us	Netherlands
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	ja-jp	Japan
Extra Small	Android	direct_traffic	2	No	en	South Africa
Extra Large	Windows New	search_traffic	2	No	en-us	Canada
Extra Large	Windows New	unknown	2	No	en-us	Bangladesh
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	Cyprus
Extra Large	Mac OS X	unknown	2	No	en-ie	Ireland
Extra Large	Windows New	search_traffic	2	No	de	Austria
Extra Small	iOS	search_traffic	1	No	en-ca	Canada
Extra Large	Windows New	unknown	1	No	en-us	France
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-us	Israel
Extra Large	Windows New	search_traffic	2	No	en-us	Pakistan
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-gb	Egypt
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-gb	India
Extra Large	Windows New	search_traffic	2	No	en-us	Jordan
Extra Large	Windows New	search_traffic	2	No	en-us	Australia
Extra Small	Android	social_traffic	1	No	en-us	India
Extra Small	iOS	search_traffic	1	No	en-us	United States
Medium	iOS	search_traffic	1	No	en-gb	Cyprus
Extra Small	Android	search_traffic	2	No	en-us	Nigeria
Extra Large	Windows New	search_traffic	2	No	en-us	Pakistan
Extra Large	Windows New	search_traffic	2	No	en-us	Pakistan
Extra Large	Windows New	search_traffic	1	No	nl-nl	Netherlands
Extra Small	iOS	search_traffic	1	No	en-au	Australia
Extra Large	Windows New	search_traffic	2	No	en-us	Morocco
Extra Large	Windows New	unknown	2	No	en-us	Qatar
Extra Large	Windows New	unknown	2	No	en-us	Nepal
Extra Large	Windows New	unknown	1	No	en-gb	United Kingdom
Extra Large	Mac OS X	unknown	2	No	ar	Saudi Arabia
Extra Small	Android	unknown	1	No	en-us	Malaysia
Extra Large	Windows New	search_traffic	1	No	en-us	Pakistan
Extra Large	Mac OS X	search_traffic	1	No	en-us	Ukraine
Extra Large	Windows New	search_traffic	1	No	en-us	Kenya
Extra Small	Android	unknown	1	No	en-gb	Pakistan
Extra Small	Android	unknown	1	No	it-it	Italy
Extra Large	Windows New	unknown	1	No	en-us	United States
Extra Small	iOS	search_traffic	2	No	en-au	Canada
Extra Large	Windows New	search_traffic	2	No	en-au	Australia
Extra Small	Android	search_traffic	1	No	en-gb	Cameroon
Extra Small	Android	search_traffic	2	No	en-gb	Portugal
Extra Small	iOS	search_traffic	1	No	en-gb	Thailand
Extra Small	Android	unknown	1	No	en-gb	France
Extra Small	Android	search_traffic	1	No	el-gr	Greece
Extra Small	Android	search_traffic	2	No	en-us	United Kingdom
Extra Small	iOS	search_traffic	2	No	en-us	Albania
Extra Small	Android	search_traffic	1	No	en-gb	Nepal
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Mac OS X	search_traffic	2	No	en-us	Canada
Extra Large	Mac OS X	search_traffic	1	No	en-us	United States
